S.no,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
P1,0.4864864865,0.5,0.4736842105,0.4857142857,0.6388888889,0.641025641,0.5526315789,0.8372093023,0.6666666667,0.7435897436,0.7297297297
P2,0.425,0.425,0.5128205128,0.3,0.425,0.5909090909,0.75,0.7674418605,0.9318181818,0.9545454545,0.95
P3,0.475,0.5,0.5641025641,0.6,0.3846153846,0.6363636364,0.5476190476,0.8372093023,0.7209302326,0.75,0.7692307692
P4,0.525,0.4,0.65,0.7,0.75,0.7209302326,0.7209302326,0.7727272727,0.8636363636,0.75,0.7692307692
P5,0.4871794872,0.5263157895,0.4722222222,0.55,0.5675675676,0.7441860465,0.6744186047,0.8863636364,0.8181818182,0.9534883721,0.975
P6,0.625,0.4615384615,0.6,0.65,0.825,0.9090909091,0.9318181818,0.9545454545,0.9545454545,0.9772727273,0.95
P7,0.5625,0.3939393939,0.4333333333,0.4444444444,0.7714285714,0.7906976744,0.8409090909,0.9069767442,0.9090909091,0.9302325581,1
P8,0,0.6086956522,0.4444444444,0.5641025641,0.5897435897,0.8085106383,0.7872340426,0.862745098,0.9523809524,0.9285714286,0
P9,0.4857142857,0.5588235294,0.5333333333,0.6666666667,0.7142857143,0.9069767442,0.925,0.880952381,0.9302325581,1,0.9743589744
P10,0.5641025641,0.5,0.6,0.5526315789,0.5,0.75,0.8409090909,0.7954545455,0.8863636364,0.8636363636,0.8461538462
